"Race.ID","Chamber","State","Congressional.District","Year","R.D.Victory.Margin","Incumbent.Running.","Geography","District.PVI","Population.Square.Mile","Share.African.American","Share.Asian","Share.College.Educated","Share.Hispanic","Share.Non.Hispanic.White","Unopposed.D.","Unopposed.R.","Vote.Share.of.Last.D.Presidential.Candidate","Vote.Share.of.Last.R.House.Candidate"
"H2006AK00","House","AK",0,2006,0.166,"Republican","",14,1.1,0.043932952,0.040061761,0.27,0.052012727,0.682767432,0,0,0.3677,0.7107
"H2006AL01","House","AL",1,2006,0.3628,"Republican","",12,100.57,0.282612622,0.018,0.205,0.014613921,0.684177939,0,0,0.3523,0.6312
"H2006AL02","House","AL",2,2006,0.3904,"Republican","Quite Rural",13,60.5,0.307379663,0.01,0.193,0.019103579,0.656590969,0,0,0.3303,0.7142
"H2006AL03","House","AL",3,2006,0.2099,"Republican","",4,81.1,0.322474957,0.011,0.195,0.014462782,0.6481111,0,0,0.4141,0.612
"H2006AL04","House","AL",4,2006,0.4047,"Republican","Extremely Rural",16,75.88,0.051929042,0.005,0.131,0.044584535,0.884417854,0,0,0.2827,0.7473
"H2006AL05","House","AL",5,2006,-1,"Democrat","",6,141.62,0.174683824,0.016,0.267,0.026222397,0.753765343,1,0,0.3977,0.2692
"H2006AL06","House","AL",6,2006,1,"Republican","",25,139.19,0.104736045,0.015,0.336,0.022174818,0.821075092,0,1,0.2187,0.988
"H2006AL07","House","AL",7,2006,-1,"Democrat","Quite Urban",-17,73.28,0.644918799,0.009,0.171,0.021615634,0.361327319,1,0,0.6453,0.2494
"H2006AR01","House","AR",1,2006,-0.383,"Democrat","Quite Rural",-1,38.97,0.17086339,0.003,0.137,0.017514683,0.811652882,0,0,0.477,0.3343
"H2006AR02","House","AR",2,2006,-0.2108,"Democrat","",0,112.47,0.211096883,0.016,0.258,0.033686318,0.736258319,0,0,0.4805,0.4183
"H2006AR03","House","AR",3,2006,0.2418,"Republican","",6,79.24,0.027336899,0.023,0.213,0.098214671,0.830021005,0,0,0.3694,0.5932
"H2006AR04","House","AR",4,2006,-0.495,"Democrat","Quite Rural",0,32.49,0.24473393,0.006,0.15,0.037472516,0.714589177,0,0,0.4805,0
"H2006AZ01","House","AZ",1,2006,0.0784,"Republican","",2,10.94,0.015359508,0.014,0.192,0.176156908,0.621798128,0,0,0.4581,0.5854
